Designator,Footprint,Quantity,Value,URL
S31,MX_PCB_1.00u,1,0,https://www.aliexpress.com/item/1005003944834891.html?mp=1
S32,MX_PCB_1.00u,1,p,https://www.aliexpress.com/item/1005003944834891.html?mp=1
S33,MX_PCB_1.00u,1,;,https://www.aliexpress.com/item/1005003944834891.html?mp=1
S37,MX_PCB_1.00u,1,-,https://www.aliexpress.com/item/1005003944834891.html?mp=1
S38,MX_PCB_1.00u,1,[,https://www.aliexpress.com/item/1005003944834891.html?mp=1
S39,MX_PCB_1.00u,1,',https://www.aliexpress.com/item/1005003944834891.html?mp=1
S4,MX_PCB_1.50u,1,tab,https://www.aliexpress.com/item/1005003944834891.html?mp=1
S40,MX_PCB_1.00u,1,=,https://www.aliexpress.com/item/1005003944834891.html?mp=1
S41,MX_PCB_1.00u,1,],https://www.aliexpress.com/item/1005003944834891.html?mp=1
S42,MX_PCB_2.25u,1,enter,https://www.aliexpress.com/item/1005003944834891.html?mp=1
S43,MX_PCB_2.00u,1,shift,https://www.aliexpress.com/item/1005003944834891.html?mp=1
S44,MX_PCB_1.25u,1,ctrl,https://www.aliexpress.com/item/1005003944834891.html?mp=1
S45,MX_PCB_1.00u,1,z,https://www.aliexpress.com/item/1005003944834891.html?mp=1
S46,MX_PCB_1.25u,1,windows,https://www.aliexpress.com/item/1005003944834891.html?mp=1
S47,MX_PCB_1.00u,1,x,https://www.aliexpress.com/item/1005003944834891.html?mp=1
S48,MX_PCB_1.25u,1,alt,https://www.aliexpress.com/item/1005003944834891.html?mp=1
S49,MX_PCB_1.00u,1,c,https://www.aliexpress.com/item/1005003944834891.html?mp=1
S5,MX_PCB_1.00u,1,q,https://www.aliexpress.com/item/1005003944834891.html?mp=1
S50,MX_PCB_6.25u,1,space,https://www.aliexpress.com/item/1005003944834891.html?mp=1
S51,MX_PCB_1.00u,1,v,https://www.aliexpress.com/item/1005003944834891.html?mp=1
S52,MX_PCB_1.25u,1,altright,https://www.aliexpress.com/item/1005003944834891.html?mp=1
S53,MX_PCB_1.00u,1,b,https://www.aliexpress.com/item/1005003944834891.html?mp=1
S54,MX_PCB_1.25u,1,windowsright,https://www.aliexpress.com/item/1005003944834891.html?mp=1
S55,MX_PCB_1.00u,1,n,https://www.aliexpress.com/item/1005003944834891.html?mp=1
S56,MX_PCB_1.00u,1,page,https://www.aliexpress.com/item/1005003944834891.html?mp=1
S57,MX_PCB_1.00u,1,m,https://www.aliexpress.com/item/1005003944834891.html?mp=1
S58,MX_PCB_1.25u,1,ctrlright,https://www.aliexpress.com/item/1005003944834891.html?mp=1
S59,MX_PCB_1.00u,1,",",https://www.aliexpress.com/item/1005003944834891.html?mp=1
S6,MX_PCB_1.00u,1,w,https://www.aliexpress.com/item/1005003944834891.html?mp=1
S61,MX_PCB_1.00u,1,.,https://www.aliexpress.com/item/1005003944834891.html?mp=1
S63,MX_PCB_1.00u,1,/,https://www.aliexpress.com/item/1005003944834891.html?mp=1
S67,MX_PCB_2.75u,1,shiftright,https://www.aliexpress.com/item/1005003944834891.html?mp=1
S7,MX_PCB_1.50u,1,caps,https://www.aliexpress.com/item/1005003944834891.html?mp=1
S71,MX_PCB_1.75u,1,backspace,https://www.aliexpress.com/item/1005003944834891.html?mp=1
S72,MX_PCB_1.25u,1,\,https://www.aliexpress.com/item/1005003944834891.html?mp=1
S8,MX_PCB_1.00u,1,a,https://www.aliexpress.com/item/1005003944834891.html?mp=1
S9,MX_PCB_1.00u,1,s,https://www.aliexpress.com/item/1005003944834891.html?mp=1
SW1,SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,1,SW_Push,https://au.mouser.com/ProductDetail/710-434133025816
U1,SOIC-16_4.55x10.3mm_P1.27mm,1,SL2.1A,https://www.aliexpress.com/item/1005005552905296.html?mp=1
U2,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,https://au.mouser.com/ProductDetail/863-NCP1117ST33T3G
U3,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,https://au.mouser.com/ProductDetail/454-W25Q128JVSIQTR
U4,RP2040-QFN-56,1,RP2040,https://au.mouser.com/ProductDetail/358-SC09147
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,https://au.mouser.com/ProductDetail/815-ABM8-272-T3
N/A,Standoff,4,M2X6,https://au.mouser.com/ProductDetail/710-970060244
N/A,Nut,12,Nut,https://au.mouser.com/ProductDetail/855-M80-2430000B
N/A,Screw,4,M2_10mm,https://www.ebay.com.au/itm/363744921549?var=632961986863
N/A,Socket,70,Kailh,https://www.aliexpress.com/item/1005007225352311.html?mp=1
N/A,Stabilizer,1,Durock_V3_Stabilizers,https://www.aliexpress.com/item/1005006628741999.html?mp=1
N/A,Key_Caps,1,Black_Line_131,https://www.aliexpress.com/item/1005007016258336.html?mp=1
N/A,PCB,1,JLC_PCB,https://jlcpcb.com/
